NONE;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x;
X00;Greater Poland;Grande Pologne;Großraum Polen;Wielkopolska;Mayor polonia;Maggiore Polonia;Större Polen;Vetší Polsko;Nagyobb lengyelország;Groot-Polen;Maior Polônia;;Suurempi Puola;x;
X00_ADJ;Greater Polish;Grand vernis;Größere Polnisch;Wiekszy Polski;Polaco mayor;Maggiore polacco;Större polsk;Vetší polský;Nagyobb lengyel;Greater Pools;Maior polonês;;Suurempi kiillotus;x;
X00_anarcho_liberal;Radical Party;Partie radicale;Radikale Partei;Radykalna strona;Fiesta radical;Festa radicale;Radikalpartiet;Radikální strana;Radikális párt;Radicale partij;Partido radical;;Radikaala;x;
X00_communist;Communist Party;parti communiste;Kommunistische Partei;partii komunistycznej;fiesta comunista;partito Comunista;kommunistiska partiet;komunistická strana;kommunista Párt;communistische Partij;partido Comunista;;kommunistinen puolue;x;
X00_conservative;Conservative Party;Parti conservateur;Konservative Partei;Partia konserwatywna;Partido Conservador;Partito conservatore;Konservativa partiet;Konzervativní strana;Konzervatív Párt;Conservatieve partij;Partido Conservador;;Konservatiivipuolue;x;
X00_fascist;Fascist Party;Partie fasciste;Faschistische Partei;Impreza faszystowska;Partido fascista;Partito fascista;Fascistfest;Fašistická strana;Fasiszta párt;Fascistische partij;Festa fascista;;Fasistinen puolue;x;
X00_liberal;Liberal Party;Parti libéral;Liberale Partei;Partia Liberalna;Partido Liberal;Partito liberale;Liberalt parti;Liberální strana;Liberális párt;Liberale partij;Partido Liberal;;Liberaalipuolue;x;
X00_reactionary;National Party;parti national;nationale Partei;Partia narodowa;partido Nacional;Festa nazionale;Nationalfest;Národní strana;Nemzeti párt;Nationale partij;Partido Nacional;;Kansallinen puolue;x;
X00_socialist;Socialist Party;parti socialiste;sozialistische Partei;partia Socjalistyczna;partido Socialista;Partito socialista;Socialistisk parti;Socialistická strana;Szocialista párt;socialistische Partij;partido Socialista;;Sosialistipuolue;x;
X01;Bjarmia;Bjarmia;Bjarmia;Bjarmi;Bjarmia;Bjarmia;Björn;Bjarmia;Bjarmia;Bjarmia;Bjarmia;;Bjarmia;x;
X01_ADJ;Bjarmian;Bjarmien;Bjarmian;Bjarmian;Bjarmiano;Bjarian;Björn;Bjarlian;Bjarmian;Bjarmisch;Barmian;;Bjarmi;x;
X01_anarcho_liberal;Radical Party;Partie radicale;Radikale Partei;Radykalna strona;Fiesta radical;Festa radicale;Radikalpartiet;Radikální strana;Radikális párt;Radicale partij;Partido radical;;Radikaala;x;
X01_communist;Communist Party;parti communiste;Kommunistische Partei;partii komunistycznej;fiesta comunista;partito Comunista;kommunistiska partiet;komunistická strana;kommunista Párt;communistische Partij;partido Comunista;;kommunistinen puolue;x;
X01_conservative;Conservative Party;Parti conservateur;Konservative Partei;Partia konserwatywna;Partido Conservador;Partito conservatore;Konservativa partiet;Konzervativní strana;Konzervatív Párt;Conservatieve partij;Partido Conservador;;Konservatiivipuolue;x;
X01_fascist;Fascist Party;Partie fasciste;Faschistische Partei;Impreza faszystowska;Partido fascista;Partito fascista;Fascistfest;Fašistická strana;Fasiszta párt;Fascistische partij;Festa fascista;;Fasistinen puolue;x;
X01_liberal;Liberal Party;Parti libéral;Liberale Partei;Partia Liberalna;Partido Liberal;Partito liberale;Liberalt parti;Liberální strana;Liberális párt;Liberale partij;Partido Liberal;;Liberaalipuolue;x;
X01_reactionary;National Party;parti national;nationale Partei;Partia narodowa;partido Nacional;Festa nazionale;Nationalfest;Národní strana;Nemzeti párt;Nationale partij;Partido Nacional;;Kansallinen puolue;x;
X01_socialist;Socialist Party;parti socialiste;sozialistische Partei;partia Socjalistyczna;partido Socialista;Partito socialista;Socialistisk parti;Socialistická strana;Szocialista párt;socialistische Partij;partido Socialista;;Sosialistipuolue;x;
X02;Lubusz;Lubusz;Lubusz;Lubusz;LUBUSZ;Lubusz;Lubusz;Lubusz;Lubusz;Lubusz;Lubusz;;Lubusz;x;
X02_ADJ;Lubuszian;Lubuszien;Lubuszian;Lubuszian;Lubuszian;Lubusziano;Lubuszisk;Lubuszian;Lubuszi;Lubuszian;Lubuszian;;Lubuszian;x;
X02_anarcho_liberal;Radical Party;Partie radicale;Radikale Partei;Radykalna strona;Fiesta radical;Festa radicale;Radikalpartiet;Radikální strana;Radikális párt;Radicale partij;Partido radical;;Radikaala;x;
X02_communist;Communist Party;parti communiste;Kommunistische Partei;partii komunistycznej;fiesta comunista;partito Comunista;kommunistiska partiet;komunistická strana;kommunista Párt;communistische Partij;partido Comunista;;kommunistinen puolue;x;
X02_conservative;Conservative Party;Parti conservateur;Konservative Partei;Partia konserwatywna;Partido Conservador;Partito conservatore;Konservativa partiet;Konzervativní strana;Konzervatív Párt;Conservatieve partij;Partido Conservador;;Konservatiivipuolue;x;
X02_fascist;Fascist Party;Partie fasciste;Faschistische Partei;Impreza faszystowska;Partido fascista;Partito fascista;Fascistfest;Fašistická strana;Fasiszta párt;Fascistische partij;Festa fascista;;Fasistinen puolue;x;
X02_liberal;Liberal Party;Parti libéral;Liberale Partei;Partia Liberalna;Partido Liberal;Partito liberale;Liberalt parti;Liberální strana;Liberális párt;Liberale partij;Partido Liberal;;Liberaalipuolue;x;
X02_reactionary;National Party;parti national;nationale Partei;Partia narodowa;partido Nacional;Festa nazionale;Nationalfest;Národní strana;Nemzeti párt;Nationale partij;Partido Nacional;;Kansallinen puolue;x;
X02_socialist;Socialist Party;parti socialiste;sozialistische Partei;partia Socjalistyczna;partido Socialista;Partito socialista;Socialistisk parti;Socialistická strana;Szocialista párt;socialistische Partij;partido Socialista;;Sosialistipuolue;x;
X03;Nurnberg;Nurnberg;Nurnberg;Nurnberg;Nurnberg;Nurnberg;Nurnberg;Nurnberg;Nurnberg;Nurnberg;Nurnberg;;Nurnberg;x;
X03_ADJ;Nurnbergian;Nurnbergien;Nurnbergian;Nurnbergian;Nurbergiano;Nurnurbergico;Nannbergisk;Nurnbergian;Nurnbergi;Nurnbergisch;Nurnbergian;;Nurnbergian;x;
X03_anarcho_liberal;Radical Party;Partie radicale;Radikale Partei;Radykalna strona;Fiesta radical;Festa radicale;Radikalpartiet;Radikální strana;Radikális párt;Radicale partij;Partido radical;;Radikaala;x;
X03_communist;Communist Party;parti communiste;Kommunistische Partei;partii komunistycznej;fiesta comunista;partito Comunista;kommunistiska partiet;komunistická strana;kommunista Párt;communistische Partij;partido Comunista;;kommunistinen puolue;x;
X03_conservative;Conservative Party;Parti conservateur;Konservative Partei;Partia konserwatywna;Partido Conservador;Partito conservatore;Konservativa partiet;Konzervativní strana;Konzervatív Párt;Conservatieve partij;Partido Conservador;;Konservatiivipuolue;x;
X03_fascist;Fascist Party;Partie fasciste;Faschistische Partei;Impreza faszystowska;Partido fascista;Partito fascista;Fascistfest;Fašistická strana;Fasiszta párt;Fascistische partij;Festa fascista;;Fasistinen puolue;x;
X03_liberal;Liberal Party;Parti libéral;Liberale Partei;Partia Liberalna;Partido Liberal;Partito liberale;Liberalt parti;Liberální strana;Liberális párt;Liberale partij;Partido Liberal;;Liberaalipuolue;x;
X03_reactionary;National Party;parti national;nationale Partei;Partia narodowa;partido Nacional;Festa nazionale;Nationalfest;Národní strana;Nemzeti párt;Nationale partij;Partido Nacional;;Kansallinen puolue;x;
X03_socialist;Socialist Party;parti socialiste;sozialistische Partei;partia Socjalistyczna;partido Socialista;Partito socialista;Socialistisk parti;Socialistická strana;Szocialista párt;socialistische Partij;partido Socialista;;Sosialistipuolue;x;
X04;Swabia;Souabe;Schwaben;Swabia;Suabia;Swabia;Swabia;Swabia;Swabia;Swabia;Swabia;;Swabia;x;
X04_ADJ;Swabian;Souabe;Schwäbisch;Szwabski;Suabia;Swabian;Swabian;Swabian;Sváb;Swabian;Swabian;;Swabian;x;
X04_anarcho_liberal;Radical Party;Partie radicale;Radikale Partei;Radykalna strona;Fiesta radical;Festa radicale;Radikalpartiet;Radikální strana;Radikális párt;Radicale partij;Partido radical;;Radikaala;x;
X04_communist;Communist Party;parti communiste;Kommunistische Partei;partii komunistycznej;fiesta comunista;partito Comunista;kommunistiska partiet;komunistická strana;kommunista Párt;communistische Partij;partido Comunista;;kommunistinen puolue;x;
X04_conservative;Conservative Party;Parti conservateur;Konservative Partei;Partia konserwatywna;Partido Conservador;Partito conservatore;Konservativa partiet;Konzervativní strana;Konzervatív Párt;Conservatieve partij;Partido Conservador;;Konservatiivipuolue;x;
X04_fascist;Fascist Party;Partie fasciste;Faschistische Partei;Impreza faszystowska;Partido fascista;Partito fascista;Fascistfest;Fašistická strana;Fasiszta párt;Fascistische partij;Festa fascista;;Fasistinen puolue;x;
