NONE;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x;
RME;The Roman Empire;L'Empire Romain;Das Römische Reich;Imperium Rzymskie;El Imperio Romano;L'Impero Romano;Det Romerska Riket;Rímské Ríše;A Római Birodalom;Het Romeinse Rijk;O Império Romano;;Rooman Valtakunta;x;
RME_ADJ;Imperial;Impérial;Kaiserliche;Cesarski;Imperial;Imperiale;Kejserlig;Císarský;Császári;Keizerlijk;Imperial;;Keisarillinen;x;
RME_foederati;Komma Romanitas Autokratorikos;Komma Romanitas Autokratorikos;Komma Romanitas Autokratorikos;Kommy Romanitas Autokratorikos;Komma Romanitas Autokratorikos;Komma Romanitas Autokratorikos;Komma Romanitas Autokratorikos;Komma Romanitas Autokratorikos;Komma Romanitas Autokratorikos;Komma Romanitas Autokratorikos;Komma Romanitas Autokratorikos;;Komma Romanitas Autokratorikos;x;
RME_XKM;XKM;XKM;XKM;XKM;XKM;XKM;XKM;XKM;XKM;XKM;XKM;;XKM;x;
RME_Kyriarchia;Kyriarchia;Kyriarchie;Kyriarchia;Kyriarchia;Kyriarchia;Kyriarchia;Kyriarki;Kyriarchia;Kyriarchia;Kyriarchia;Kyriarquia;;Kyriaaria;x;
RME_reactionary;Patrikioi;Patrikioi;Patrikioi;Patrikioi;Patrikioi;Patrikioi;Patrikio;Patrikioi;Patrikioi;Patrikioi;Patrikioi;;Patrikioi;x;
RME_radical_party;Radical Party;Partie Radicale;Radikale Partei;Radykalna Strona;Parti Radical;Festa Radicale;Radikalpartiet;Radikální Strana;Radikális Párt;Radicale Partij;Partido Radical;;Radikaala;x;
RME_socialist;Koinonikistai;Koinonikistai;Koinonikistai;Koinonikistai;Koinonikistai;Koinonikistai;Koinonikistai;Koinonikistai;Koinonikistai;Koinonikistai;Koinonikistai;;Koinonikistai;x;
RME_communist;I Koinotita;I Koinotita;I Koinotita;I Koinotyta;I Koinotita;Ho Koinotita;I Koinotita;I Koinotita;I Koinotita;I Koinotita;I Konotita;;I Koinotita;x;
RME_varangian_guard;Pars Imperium Aecus Romani Operarii;Pars Imperium Aecus Romani Operariii;Pars Imperium Aecus Romani Operarii;Pars Imperium Aecus Romani Operarii;Pars Imperium Aecus Romani Operarii;Pars Imperium Aecus Romani Operarii;Pars Imperium Aecus Romani Operarii;Pars Imperium Aecus Romani Operii;Pars Imperium Aecus Roma Operarii;Pars Imperium Aecus Romani Operarii;Pars Imperium Aecus Romani Operiii;;Pars Imperium Aecus Romani Operarii;x;
AQI;Aquitaine;Aquitaine;Aquitanien;Aquitaine;Aquitania;Aquitania;Aquitaine;Aquitaine;Aquitaine;Aquitaine;Aquitânia;;Aquitaine;x;
AQI_ADJ;Aquitaine;Aquitaine;Aquitanien;Aquitaine;Aquitania;Aquitania;Aquitaine;Aquitaine;Aquitaine;Aquitaine;Aquitânia;;Aquitaine;x;
BEL;Flanders-Wallonia;Flandre-Wallonie;Flandern-Wallonie;Flandria-Walonia;Flanders-Wallonia;Fiandre-Vallonia;Flanders-Wallonia;Flanders-Wallonia;Flanders-Wallonia;Vlaanderen-Wallonië;Flandres-Wallonia;;Flanders-Wallonia;x;
BEL_ADJ;Flanders-Wallonian;Flamand-Wallonien;Flandern-Wallonischer;Flandria-Walonian;Flandes-Wallonian;Fiandre-Wallonian;Flanderns-Wallonian;Flanders-Wallonian;Flanders-Wallonian;Vlaanderen-Wallonian;Flandres-Wallonian;;Flanders-Wallonian;x;
CAN;Kanata;Kanata;Kanata;Kanata;Kanata;Kanata;Kanata;Kanata;Kanata;Kanata;Kanata;;Kanata;x;
CAN_ADJ;Kanatian;Kanatian;Kanatisch;Kanatian;Kanaciano;Kanatà;Kanati;Kanatian;Kanátus;Kanatiaan;Kanatian;;Kanatian;x;
CRO;Pannonia;Pannonie;Pannonien;Pannonia;Panonia;Pannonia;Pannonia;Pannonia;Pannonia;Pannonia;Pannonia;;Pannonia;x;
CRO_ADJ;Pannonian;Pannonien;Pannonisch;Pannian;Pannoniano;Pannonian;Pann;Pannonian;Pannon;Pannoon;Pannonian;;Pannonialainen;x;
ENG;Brittania;Brittania;Brittania;Brittania;Brittania;Brittania;Brittania;Brittania;Brittánia;Brittania;Brittania;;Brittania;x;
ENG_ADJ;Brittanian;Brittanien;Brittanian;Brittanian;Brittano;Brittaniano;Brittansk;Brittanian;Brittanian;Brittanian;Britânia;;Brittanian;x;
MEX;Mexihco;Méxihco;Mexihco;Mexihco;Mexihco;Mexihco;Mexihco;Mexihco;Mexihco;Mexihco;Mexihco;;Mexihco;x;
MEX_ADJ;Mexihcan;Mexihcan;Mexihcan;Mexihcan;Mexihcán;Mexihcan;Mexihcan;Mexihcan;Mexihcan;Mexihcan;Mexihcan;;Mexihcan;x;
NZL;Aoteorea;Aoteorea;Aoresea;Aoteorea;Aoteorea;Aoterea;Aoteorea;Aoteorea;Aoteorea;Aoteorea;Aoteorea;;Aoteoreera;x;
NZL_ADJ;Aoteorean;À La Cabine;Aopeanisch;Aoteorejski;Augeórico;Aoteorean;Aoteorisk;Aoteorean;Aotorean;Aoteorisch;Aoteoren;;Ateorean;x;
PEU;Biru;Biru;Biru;Birru;Biru;Biru;Biru;Bruru;Biru;Biru;Biru;;Biru;x;
PEU_ADJ;Biru;Biru;Biru;Birru;Biru;Biru;Biru;Bruru;Biru;Biru;Biru;;Biru;x;
SER;Moesia Superior;Moesia Supérieur;Moesia Superior;Mezja Superior;Moesia Superior;Moesia Superior;Moesia Överlägsen;Moesia Superior;Moesia Superior;Moesia Superior;Moesia Superior;;Moesia Superior;x;
