NONE;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x;
AAC;Aachen;Aachen;Aachen;Aachen;Aquianza;Aachen;Aachen;Aachen;Aachen;Aken;Aachen;;Aachen;x;
AAC_ADJ;Aachener;Aachener;Aachener;Aachener;Aqueneraje;Achener;Aachener;Aachener;Aachener;AICHENER;Aacina;;Aachener;x;
ACH;Achaea;Achéa;Achaea;Achaea;Achaea;Achaea;Achaea;Achaea;Achaea;Achaea;ACHAEA;;ACHAEA;x;
ACH_ADJ;Achaean;Achéan;Achaean;Achaean;Achaean;Achean;Achaean;Achaean;Achaean;Achaean;ACHAEAN;;Achaean;x;
ADA;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal';Adal;x;
ADA_ADJ;Adalan;Adalien;Adalan;Adalan;Adalan;Adalan;Adalansk;Adalan;Adalan;Adalan;Adalan;;Adalan;x;
AHM;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;BIHAR;Bikhar;Hihna;x;
AHM_ADJ;Bihari;Bihari;Bihari;Bihari;Bihari;Bihari;Bihari;Bihari;Bihari;Bihari;Bihari;;Bihari;x;
AKH;Astrakhan;Astrakan;Astrachan;Karakul;Astracán;Astrakhan;Astrakhan;Astrakhan;Asztrahán;Astrakan;Astracã;Astrakhan';Astrakhan;x;
AKH_ADJ;Astrakhani;Astrakhani;Astrakhani;Astrachani;Astrakhani;Astrakhani;Astrakhani;Astrakhani;Astrakhani;Astrakhani;Astrakhani;;Astrakhani;x;
AKK;Ak Koyunlu;Ak koyunlu;AK Koyunlu;AK Koyunlu;Ak koyunlu;AK Koyunlu;Ak Koyunlu;AK KOYUNLU;Ak koyunlu;Ak koyunlu;Ak koyunlu;Ak Koyunlu;AK Koyunlu;x;
AKK_ADJ;Ak Koyunlu;Ak koyunlu;AK Koyunlu;AK Koyunlu;Ak koyunlu;AK Koyunlu;Ak Koyunlu;AK KOYUNLU;Ak koyunlu;Ak koyunlu;Ak koyunlu;;AK Koyunlu;x;
ALE;Alençon;Alençon;Allençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;;Alençon;x;
ALE_ADJ;Alençon;Alençon;Allençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;;Alençon;x;
ALH;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Khaasa;Haasa;x;
ALH_ADJ;Haasalese;Haasalais;Haasalesen;Haasalese;Haasalés;Haasalese;Haasales;Haasalese;HAALESE;Haasales;Haasalese;;Haasalese;x;
ALS;Alsace;Alsace;Elsass;Alzacja;Alsacia;Alsazia;Alsace;Alsace;Elzász;Elzas;Alsácia;El'zas;Alsace;x;
ALS_ADJ;Alsatian;alsacien;elsässisch;wilczur;alsaciano;alsaziano;Alsatisk;vlcák;elzászi;Elzasser;Alsaciano;;Alsatian;x;
AMD;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;;Ahmadnagar;x;
AMD_ADJ;Ahmadnagari;Ahmadnagari;Ahmadnagari;Ahmadnagari;Ahmadnagari;Ahmadnagari;Ahmadnagari;Ahmadnagari;Ahmadnagari;Ahmadnagari;Ahmadnagari;;Ahmadnagari;x;
AMG;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Aramagnac;Armagnac;Armagnac;Arman'yak;Armagnac;x;
AMG_ADJ;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Aramagnac;Armagnac;Armagnac;;Armagnac;x;
ANN;Annam;Annamelle;Annam;Annam;Annam;Annam;Annamera;Annam;Anam;Annam;Annam;Annam;Antaa;x;
ANN_ADJ;Annamese;Annamais;Annamese;Annamese;Anamese;Annamese;Annamer;Annamese;Anamantikus;Annamese;Annamese;;Annamese;x;
ANS;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbakh;Andsbach;x;
ANS_ADJ;Ansbachian;Ansbachian;Ansbachian;Ansbachian;Ansbachian;Ansbachian;Ansakbak;Ansbachian;Ansbachian;Ansbachian;Ansbachian;;Ansbachian;x;
AQU;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;;Aquileia;x;
AQU_ADJ;Aquileian;Aquilien;Aquileier;Aquilian;Acuíaco;Aquilei;Aquileisk;Aquilean;Aquilei;Aquileius;Aquilian;;Akvaario;x;
ARK;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;ARAKAN;Arakan;Arakan;Arakan;Arakan;x;
ARK_ADJ;Arakani;Arakani;Arakani;Arakani;Arakani;Arakani;Arakani;Arakani;Arakani;Arakani;Arakani;;Arakani;x;
ARO;Aragon;Aragon;Aragonisch;Aragon;Aragón;Aragona;Aragon;Aragon;Aragon;Aragon;Aragão;Aragon;Aragon;x;
ARO_ADJ;Aragonese;Aragonais;Aragonesen;Aragonski;aragonés;aragonese;Aragonesisk;Aragonese;Aragonéz;Aragonese;Aragonês;;Aragonese;x;
ASH;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;x;
ASH_ADJ;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;;Ashanti;x;
ASS;Assam;Assommer;Assam;Assam;Asno;Assam;Assos;Assam;Assam;Assam;Assam;Assam;Assam;x;
ASS_ADJ;Assamese;Assamen;Assamese;Assame;Assamese;Assamese;Assames;Assamese;Assamese;Assamese;Assamese;;Assamilainen;x;
ATH;Athens;Athènes;Athen;Ateny;Atenas;Atene;Athens;Athény;Athén;Athene;Atenas;Afiny;Ateena;x;
ATH_ADJ;Athenian;Athénien;Athener;atenski;ateniense;ateniese;Atensk;Athenian;athéni;Athenian;ateniense;;Ateenalainen;x;
AUG;Augsburg;Augsburg;Augsburg;Augsburg;Augsburgo;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;;Augsburg;x;
AUG_ADJ;Augsburgian;Augsburgien;Augsburgian;Augsburgia;Augsburg;Augsburnian;Augsburgare;Augsburgian;Augsburgian;Augsburgian;Augsburgian;;Augsburgian;x;
AUV;Auvergne;Auvergne;Auvergne;Auvergne;Auvernia;Alvernia;Auvergne;Auvergne;Auvergne;Auvergne;Auvergne;Overn';Auvergne;x;
AUV_ADJ;Auvergnese;Auvergnèse;Auvergnese;Auvergnese;Auvergnese;Auvergnese;Auvergnese;Auvergnese;Auvergnéz;Auvergnese;Auvergnese;;Auvergnese;x;
AVI;Avignon;Avignon;Avignon;Avignon;Aviño;Avignone;Avignon;Avignon;Avignon;Avignon;Avignon;Avin'on;Avignon;x;
AVI_ADJ;Avignonese;Avignone;Avignonese;Avignonese;Avignón;Avignonese;Avignonesisk;Avignonese;Avignonese;Avignonese;Avignonese;;Avignonese;x;
AYD;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;;Aydin;x;
AYD_ADJ;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;;Aydin;x;
AZT;Aztec;Aztèque;aztekisch;Aztek;azteca;Aztec;Aztec;aztécký;AzTEC;Aztec;asteca;Atstek;Atstec;x;
AZT_ADJ;Aztec;Aztèque;aztekisch;Aztek;azteca;Aztec;Aztec;aztécký;AzTEC;Aztec;asteca;;Atstec;x;
BAH;Deccan;Décanner;Deccan;Decan;Deccan;Decan;Dekkan;Deccan;Deccan;Deccan;Deccan;Deccan;Deccan;x;
BAH_ADJ;Deccan;Décanner;Deccan;Decan;Deccan;Decan;Dekkan;Deccan;Deccan;Deccan;Deccan;;Deccan;x;
BAN;Banten;Banton;Bärte;Banten;Banten;Bantene;Banten;Bantenový;Banten;Banten;Banten;Banten;Banten;x;
BAN_ADJ;Banteni;Banteni;Banteni;Banteni;Banteni;Banteni;Banteni;Banteni;Banteni;Banteni;Banteni;;Banteni;x;
BAR;Bar;Bar;Bar;Bar;Bar;Sbarra;Bar;Bar;Rúd;Bar;Bar;;Baari;x;
BAR_ADJ;Barroise;Barroise;Barkrose;Barro;Barroísta;Barrorizzare;Barrois;Barroise;Barroise;Barroise;Barroise;;Barroe;x;
BCS;Baluchistan;Baluchistan;Baluchistan;Baluchistan;Baluchistán;Baluchistan;Baluchistan;Baluchistan;Baluchisztán;Baluchistan;Baluchistão;Beludzhistan;Baluchistan;x;
BCS_ADJ;Baluchistani;Baluchistani;Baluchistani;Baluchistani;Baluchistani;Baluchistani;Baluchistansk;Baluchistani;Baluchistani;Baluchistani;Baluchistani;;Baluchistani;x;
BEN;Benin;Bénin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;Benin;x;
BEN_ADJ;Beninese;Béninois;Beninese;Beninese;Beninese;Beninese;Bensin;Beninese;Benini;Beninese;Beninese;;Benines;x;
BHU;Bhutan;Bhoutan;Bhutan;Bhutan;Bután;Bhutan;Bhutan;Bhútán;Bhutan;Bhutan;Butão;Butan;Bhutan;x;
BHU_ADJ;Bhutanese;Bhoutanais;Bhutanesisch;Bhutanese;Bhutanese;Bhutanese;Bhutanesisk;Bhutanese;Bhutanese;Bhutanese;Butanês;;Bhutanese;x;
BIJ;Bijapur;Bijapur;Bijapur;Bijapur;Bijapur;Bijapur;Bijapur;Bijapur;Bijapur;Bijapur;Bijapur;Bijapur;Bijapur;x;
BIJ_ADJ;Bijapuri;Bijapuri;Bijapuri;Bijapuri;Bijapuri;Bijapuri;Bijapuri;Bibapuri;Bijapuri;Bijapuri;Bijapuri;;Bijapuri;x;
BNG;Bengal;Bengale;Bengalen;bengalski;Bengala;Bengala;Bengal;Bengálsko;Bengália;Bengalen;Bengal;Bengal;Bengal;x;
BNG_ADJ;Bengalese;Bengale;Bengalenesisch;Bengalski;Bengalí;Bengalese;Bengalesisk;Bengálština;Bengáli;Bengalenes;Bengalese;;Bengalilainen;x;
BOU;Bourbonnais;Bourbonnais;Bourbonnais;Bourbonnais;Bourbonnais;Bourbonnes;Bourbonnais;Bourbonnais;Bourbonnais;Bourbonnais;Bourbonnais;Burbonne;Bourbonnais;x;
BOU_ADJ;Bourbonnean;Bourbonnan;Bourbonnean;Bourbonnean;Bourbonano;Bourbonnean;Bourbonnean;Bourbonnean;Bourbebean;Bourbonnean;Bourbonnean;;Bourbonnean;x;
BRB;Brabant;Brabant;Brabant;Brabant;Bribante;Brabante;Babant;Brabantský;Brabent;Brabant;Brabant;Brabant;Brabantti;x;
BRB_ADJ;Brabantian;Brabantian;Brabantian;Brabantian;Brabántico;Brabaniano;Brabantian;Brabantian;Brabantiai;Brabants;Brabantiano;;Brabantti;x;
BRD;Brandenburg;Brandenburg;Brandenburg;Brandenburgia;Brandenburgo;Brandeburgo;Brandenburg;Brandenburg;Brandenburg;Brandenburg;Brandemburgo;Brandenburg;Brandenburg;x;
BRD_ADJ;Brandenburgian;Brandenburgien;Brandenburgisch;Brandenburgia;Brandenburgo;Brandenburgian;Brandenburger;Brandenburgian;Brandenburgi;Brandenburgian;Brandenburgian;;Brandenburgian;x;
BRG;Burgundy;Bourgogne;Burgund;Burgundia;Borgoña;Borgogna;Burgundy;Burgundské;Burgundia;Bourgondië;Borgonha;Burgundiya;Burgundi;x;
BRG_ADJ;Burgundian;Bourguignon;Burgund;Burgundian;Burgundo;Borgognone;Burgundisk;Burgundian;Burgundi;Bourgondisch;Burgundian;;Burgundian;x;
BRI;Brittany;Bretagne;Bretagne;Brittany;Bretaña;Bretagna;Brittany;Brittany;Brittany;Bretagne;Bretanha;Bretan';Bretagne;x;
BRI_ADJ;Breton;Breton;Bretonisch;Breton;Bretón;Bretone;Breton;Breton;Boszorkány;Breton;Bretão;;Breton;x;
BRR;Berar;Berner;Berar;Berr;Berardo;Berar;Bergar;Berar;Berak;Beraar;Berar;Berar;Berar;x;
BRR_ADJ;Berari;Berari;Berari;Berari;Berari;Berari;Berari;Berari;Berari;Berari;Berari;;Berari;x;
BRY;Berry;Baie;Beere;Jagoda;Baya;Bacca;Bär;Bobule;Bogyó;BES;baga;;Marja;x;
BRY_ADJ;Berrian;Berrian;Berrian;Berrian;Berriano;Berriano;Bergröd;Berrian;Berrian;Berrian;Berrian;;Berrian;x;
CAS;Castille;Castille;Kastel;Castille;Castilla;Castiglia;Castille;Castille;Kastély;Castilla;Castela;Kastiliya;Castille;x;
CAS_ADJ;Castilian;Castillan;Kastilianer;Kastylijski;Castellano;Castigliano;Castilian;Kadernický;Kasztíliai;Castiliaans;Castiliano;;Kastilialainen;x;
CHA;Champa;Champa;Champa;Champa;Champa;Champa;Champa;Champa;Pajkos;Champa;Champa;Champa;Champa;x;
CHA_ADJ;Champani;Champani;Champani;Chamani;Champán;Champani;Champani;Champani;Bajki;Champani;Champani;;Champani;x;
CHG;Chagatai;Chagatai;Chagatai;Chagatai;Chagatai;Chagatai;Chagatai;Chagatai;Chagatai;Chagatai;Chagai;Chagatai;Chagatai;x;
CHG_ADJ;Chagatai Khanate;Chagatai Khanate;Chagatai Khanate;Chagatai Khanate;Chagatai Khanate;Chagatai Khanate;Chagatai Khanate;Chagatai Khanate;Chagatai Kánát;Chagatai Khanate;Chagatai Khanate;;Chagatai Khanaatti;x;
CHK;Champassak;Chapeau;Champasak;Champassak;Champantak;Champassak;Champassak;Champassak;Civakkövek;Champassak;Champassak;Champassak;Champak;x;
CHK_ADJ;Champassaki;Champassaki;Champasaki;Champassaki;Champassaki;Champassaki;Champassaki;Champassaki;Campassaki;Champassaki;Champassaki;;ChampaSaki;x;
CHM;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;x;
CHM_ADJ;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;Chimu;;Chimu;x;
CHP;Champagne;Champagne;Champagner;szampan;champán;Champagne;Champagne;Šampanské;Pezsgo;Champagne;champanhe;Shampanskoye;Samppanja;x;
CHP_ADJ;Champagnian;Champagnien;Champagnier;Champagnian;Champagnio;Champagniano;Champagnisk;Šampanský;Champagnian;Champagnisch;Champagnian;;Samppanja;x;
CND;Candar;Candar;Candar;Candar;Cande;Candaro;Åker;Candar;Gyertya;Candar;CARDAR;Chandar;Ketju;x;
CND_ADJ;Candari;Candari;Candari;Candari;Candari;Candari;Candari;Candari;Candari;Candari;Carona;;Candari;x;
CNN;Connacht;Connacht;Connacht;Connacht;Connache;Connacht;Knäpp;Connacht;Connacht;Spacht;Connacht;Konnakht;Connacht;x;
CNN_ADJ;Connacht;Connacht;Connacht;Connacht;Connache;Connacht;Knäpp;Connacht;Connacht;Spacht;Connacht;;Connacht;x;
COR;Corsica;la Corse;Korsika;Korsyka;Corsico;Corsica;Korsika;Korsika;Korzika;Corsica;Córsega;Korsika;Korsika;x;
COR_ADJ;Corsican;Corse;Korsikan;Corsican;corso;Corsican;Korsikan;Korsican;Korzikai;Corsicaans;Corsicana;;Korsikaani;x;
CRK;Creek;Ruisseau;Bach;zatoczka;Arroyo;torrente;Bäck;Creek;Patak;Kreek;Riacho;;Puro;x;
CRK_ADJ;Creek;Ruisseau;Bach;zatoczka;Arroyo;torrente;Bäck;Creek;Patak;Kreek;Riacho;;Puro;x;
CRN;Cornwall;Cornouailles;Cornwall;Cornwall;Cornualles;Cornovaglia;Cornwall;Cornwall;Cornwall;Cornwall;Cornualha;;Cornwall;x;
CRN_ADJ;Cornish;cornouaillais;kornisch;kornwalijski;de Cornualles;Cornicolo;Cornish;cornwallský;cornwalli;Corner;Cornish;;Kruunu;x;
D15;Gambia;Gambie;Gambia;Gambia;Gambia;Gambia;Gambia;Gambie;Gambia;Gambia;Gâmbia;;Gambia;x;
D15_ADJ;Gambian;Gambien;Gambian;Gambijczyk;Gambio;Gambia;Gambisk;Gambijský;Gambiai;Gambiaans;Gambiano;;Gambian;x;
D16;Ghana;Ghana;Ghana;Ghana;Ghana;Ghana;Ghana;Ghana;Ghána;Ghana;Gana;;Ghana;x;
D16_ADJ;Ghanan;Ghanan;Ghanan;Ghanan;Ghanán;Ghanan;Ghanan;Ghanan;Ghanan;Ghanan;Ghanan;;Ghanaan;x;
DAN_ADJ;Danish;danois;dänisch;dunski;danés;danese;Danska;dánština;dán;Deens;dinamarquês;;Tanskan kieli;x;
DAU;Dauphine;Dauphine;Dauphine;Dauphine;Diabina;Dauphine;Dauphine;Dauphine;Dauphine;Dauphine;Dauphine;;Dauphine;x;
DAU_ADJ;Dauphinese;Dauphinais;Dauphinese;Dauphinese;Dauphinese;Dauphinese;Dauphinese;Dauphinese;Döfines;Dauphinese;Dauphinese;;Dauphinese;x;
DLH;Delhi;Delhi;Delhi;Delhi;Delhi;Delhi;Delhi;Dillí;Delhi;Delhi;Délhi;;Delhi;x;
DLH_ADJ;Delhian;Delhian;Delhianer;Delhi;Delhian;Delhian;Delhian;Dillían;Delhi;Delhian;Delão;;Delhian;x;
DUL;Dulkadir;Dulkadir;Dulkadir;Dulkadir;Dulkadir;Dulkadir;Dulkadir;Dulkadir;Dulkadir;Dulkadir;Dulkadir;;Dulkadir;x;
DUL_ADJ;Dulkadiri;Dulkadiri;Dulkadiri;Dulkadiri;Dulkadiri;Dulkadiri;Dulkadiri;Dulkadiri;Dulkadiri;Dulkadiri;Dulkadiri;;Dulkadiri;x;
DUR;Durrani;Durrani;Durrani;Durrani;Durrani;Duranti;Durrani;Durrani;Durrani;Durrani;Durrani;;Durrani;x;
DUR_ADJ;Durrani;Durrani;Durrani;Durrani;Durrani;Duranti;Durrani;Durrani;Durrani;Durrani;Durrani;;Durrani;x;
ENG;Great Britain;Grande Bretagne;Großbritannien;Wielka Brytania;Gran Bretaña;Gran Bretagna;Storbritannien;Velká Británie;Nagy-Britannia;Groot Brittanië;Grã Bretanha;;Iso-Britannia;x;
ENG_ADJ;British;Britanique;Britisch;Brytyjski;Británico;Britannico;Brittisk;Britský;Angol;Britten;Britânico;;Brittiläinen;x;
ENL;England;Angleterre;England;Anglia;Inglaterra;Inghilterra;England;Anglie;Anglia;Engeland;Inglaterra;;Englanti;x;
ENL_ADJ;English;Anglais;Englisch;Jezyk Angielski;Inglés;Inglese;Engelsk;Anglictina;Angol;Engels;Inglês;;Englanti;x;
EPI;Epirus;Épire;Epirus;Epirus;Epirus;Epiro;Epirus;Epirus;Epirus;Epirus;Epirus;;Epirus;x;
EPI_ADJ;Epirote;Épirote;Epirote;Epirotka;Epirote;Epirote;Epirot;Epirote;Epirote;Epirote;Epirote;;Epirootti;x;
ETR;Etruria;Étrurie;Etrurien;Etruria;Etruria;Etruria;Etruria;Etrurie;Eturia;Etruria;Etrúria;;Etruria;x;
ETR_ADJ;Etruria;Étrurie;Etrurien;Etruria;Etruria;Etruria;Etruria;Etrurie;Eturia;Etruria;Etrúria;;Etruria;x;
FER;Ferrara;Ferrara;Ferrara;Ferrara;Ferrara;Ferrara;Ferrara;Ferrara;Ferrara;Ferrara;Ferrara;;Ferrara;x;
FER_ADJ;Ferraranese;Ferraranais;Ferraranesisch;Ferraranese;Ferraranés;Ferraranese;Ferraranes;Ferraranese;Ferraranese;Ferraranees;Ferraranese;;Ferraranilainen;x;
